Al	B	Ca	Cu	Fe	K	Mg	Mn	Na	P	Zn	N	C	Albox	Bbox	Cabox	Cubox	Febox	Kbox	Mgbox	Mnbox	Nabox	Pbox	Znbox	Nbox	Cbox	Alnorm	Bnorm	Canorm	Cunorm	Fenorm	Knorm	Mgnorm	Mnnorm	Nanorm	Pnorm	Znnorm	Nnorm	Cnorm
YL18	2102.07	37.53	11031.81	5.82	3802.65	16296.28	2229.98	93.09	11091.82	2328.22	26.63	19.37	378.27	41.04875052	1.161362737	11.15959099	1.550164725	71.59899566	26.30980674	264.2738848	5.135699713	236.007455	10.31273955	2.140483764	5.27430859	71543.59645	0.399851988	2.002809497	-0.235836786	-0.526026123	1.411178153	0.493769569	0.177956597	0.661214792	1.584876705	2.002809497	1.025590291	1.693315232	-1.338323635
YL19	910.02	30.27	7442.61	4.22	1723.33	19365.01	1348.01	45.5	10897.54	2122.04	18.51	15.7	401.8	29.6228114	1.149180773	10.6039107	1.296567062	50.85442312	27.3158092	187.9396604	4.239038588	233.8452427	10.15320591	1.988715204	4.690186899	80721.12	-1.18179227	1.536998056	-1.15378684	-1.240773954	-0.575472548	1.304420071	-1.373839467	-0.870218897	1.492404178	1.584876705	0.446318449	0.934041501	0.00708093
YL20	1142.94	39.82	10452.19	5.25	2255.6	11117.22	1722.5	58.45	16228.48	2818.89	35.72	23.67	388.2	32.39940914	1.164359938	11.08289655	1.470165286	57.1585797	24.18826748	221.8996289	4.548829299	287.7007706	10.64507066	2.252153528	5.874243529	75349.12	-0.870218897	2.121279302	-0.430727299	-0.809758313	0.02124421	-0.870218897	-0.771048869	-0.324231584	2.533299536	2.533299536	1.584876705	2.280148711	-0.912354903
YL21	1593.88	30.24	10507.26	5.01	2967.94	11258.88	1891.39	72.69	8269.43	1551.8	25.44	13.87	393.57	36.88395171	1.149119486	11.09035701	1.433442244	64.35567494	24.25619259	236.406238	4.821938242	202.5172835	9.622385481	2.122253011	4.365601971	77448.17245	-0.192363314	1.492404178	-0.399851988	-0.956176539	0.752122489	-0.809758313	-0.415240161	0.035411754	0.733461771	0.696883497	0.978790275	0.542359867	-0.592266244
YL23	2084.78	34.75	11879.93	5.81	3695.69	12402.67	2248.73	96.47	7939.31	2321.89	39	15.77	376.7	40.91834286	1.157245289	11.26509783	1.548839988	70.72662322	24.78038408	265.7749335	5.181284668	198.2594057	10.30804065	2.283800818	4.702107841	70950.945	0.369353294	1.755955277	-0.092181706	-0.550581047	1.338323635	-0.384557925	0.192363314	0.771048869	0.661214792	1.907180829	1.907180829	0.978790275	-1.450595047
YL24	1319.95	32.36	10147.58	5.81	2417.96	10417.71	1373.76	64.31	9956.81	1756.41	26.69	16.4	421.97	34.27518995	1.153195356	11.04093448	1.548839988	58.90444212	23.84206583	190.3661349	4.668112758	223.1013186	9.831062857	2.141375199	4.807897925	89028.84045	-0.575472548	1.636691647	-0.526026123	-0.550581047	0.309340999	-1.126658238	-1.338323635	-0.149250552	1.338323635	1.074751777	1.049853854	1.074751777	1.338323635
YL25	1235.68	12.27	9555.79	7.56	2465.61	10492.11	1102.99	89.47	5710.19	972.85	22.81	8.03	406.07	33.40365024	1.066684568	10.9558277	1.747780557	59.40374467	23.87977817	164.0280451	5.085107526	166.918654	8.851829304	2.0777738	3.094002192	82445.92245	-0.696883497	-1.584876705	-0.626368225	-0.092181706	0.324231584	-1.025590291	-1.907180829	0.592266244	0.092181706	-0.575472548	0.752122489	-1.304420071	0.26506362
YL27	1025.28	23.46	7739.32	8.15	1919.46	12896.38	1045.62	56.49	7211.87	1850.47	38.85	18.1	417.33	31.04728901	1.131676828	10.65873652	1.803151262	53.29462857	24.99446578	158.1866301	4.506394915	188.5636445	9.91950286	2.282428997	5.080923426	87081.66445	-1.025590291	1.074751777	-1.074751777	0.035411754	-0.369353294	-0.221300119	-2.002809497	-0.354233577	0.462018859	1.18179227	1.826356298	1.450595047	1.001915966
YL29	1902.09	26.11	10220.89	5.94	3717.22	15801.39	2500.91	83.44	9096.47	2252.39	35.27	24.97	389.13	39.49612514	1.139472784	11.05114308	1.565860621	70.90339771	26.13326095	285.5830329	4.996368269	212.8369838	10.2556511	2.247521318	6.041640209	75710.57845	0.221300119	1.271952968	-0.493769569	-0.477833997	1.373839467	0.415240161	0.575472548	0.430727299	1.074751777	1.755955277	1.536998056	2.533299536	-0.84972099
YL30	1558.92	22.16	11071.62	9.97	2694.14	11793.04	1336.84	77.18	7284.16	2005.15	50.35	19.53	414.4	36.56785217	1.127237525	11.16471531	1.94865961	61.72331602	24.50617757	186.8823782	4.897579575	189.5477114	10.05623651	2.371486736	5.298088205	85863.18	-0.250423463	0.956176539	-0.206810069	0.26506362	0.526026123	-0.6436938	-1.411178153	0.206810069	0.493769569	1.373839467	2.121279302	1.826356298	0.829574037
YL31	419.93	18.35	6911.9	5.17	844.27	17144.24	736.02	35.72	7508.68	1606.39	33.85	15.97	418.63	21.73418009	1.110982033	10.50038167	1.458142261	37.18613845	26.6023402	124.5977021	3.943657042	192.5743247	9.680453723	2.232392372	4.735981495	87625.03845	-2.002809497	0.185155152	-1.411178153	-0.84972099	-1.636691647	0.715053038	-2.533299536	-1.492404178	0.526026123	0.790255566	1.411178153	1.025590291	1.126658238
YL34	3536.6	23.03	17008.26	6.48	6441.62	19050.41	2788.74	140.27	7327.53	2522.79	46.51	12.9	329.7	50.09815973	1.130258854	11.78047633	1.632248477	89.72384401	27.21895527	307.4085499	5.665062473	190.1358322	10.45167129	2.344927302	4.182283123	54350.545	1.636691647	1.025590291	0.609228667	-0.354233577	2.533299536	1.18179227	1.18179227	1.584876705	0.509831534	2.121279302	2.002809497	0.221300119	-2.533299536
YL43	2656	19.72	14924.36	18.99	3319.86	12038.13	2032.98	133.31	4953.65	1223.66	16.92	11.3	391.47	44.9079298	1.117483205	11.59194762	2.385689312	67.53845344	24.61778289	248.243462	5.598716986	154.9651846	9.227178287	1.948780057	3.859474718	76623.88045	0.956176539	0.558839611	0.384557925	1.450595047	1.001915966	-0.558839611	-0.120666995	1.450595047	-0.177956597	0.120666995	0.26506362	-0.250423463	-0.724226725
YL45	2167.2	17.3	13625.16	11.55	2551.24	13663.53	2301.2	85.29	5945.44	1332.95	18.65	14.2	401.73	41.53392109	1.105370102	11.46112845	2.052144109	60.28704097	25.31414949	269.9538664	5.024221709	170.4772684	9.368730537	1.992019793	4.426084692	80692.99645	0.509831534	-0.120666995	0.149250552	0.485786363	0.399851988	-0.049586409	0.26506362	0.446318449	0.163586723	0.399851988	0.477833997	0.567136467	-0.02124421
YL46	1776.06	15.74	10220.5	10.68	2177.85	14713.25	2343.68	79.14	5612.63	1336.91	14.26	9.23	397.77	38.4633006	1.095786472	11.05108896	1.997334123	56.29648126	25.7285429	273.3143453	4.929301317	165.4221165	9.373654284	1.869874381	3.394831253	79109.98645	0.106413557	-0.575472548	-0.509831534	0.354233577	-0.049586409	0.177956597	0.354233577	0.250423463	0.063771035	0.415240161	-0.221300119	-0.829574037	-0.294518693
YL47	925.05	14.11	7876.76	8.34	1210.3	10461.49	1580.69	52.14	8532.86	965.79	13.59	10.37	412.93	29.8148697	1.083736976	10.68345052	1.820008627	43.57908315	23.86428394	209.3555829	4.40700886	205.8563678	8.840009458	1.846978121	3.658140205	85255.09245	-1.126658238	-1.074751777	-1.025590291	0.063771035	-1.15378684	-1.074751777	-1.001915966	-0.51791185	0.870218897	-0.626368225	-0.384557925	-0.45415466	0.696883497
YL53	903.49	15.46	7936.24	7.17	1114.67	16485.99	1290.68	44.9	5568.99	880.38	7.57	7.23	412.67	29.53873701	1.093881145	10.69401762	1.708381529	42.03255004	26.37631917	182.4820899	4.2227359	164.7486252	8.690274463	1.542230608	2.877019625	85147.76445	-1.210756606	-0.661214792	-1.001915966	-0.163586723	-1.271952968	0.575472548	-1.492404178	-0.934041501	0.035411754	-0.829574037	-1.584876705	-1.492404178	0.678941165
YL55	1760.04	16.84	11069.53	11.01	2114.82	11955.19	1880.3	77.03	6861.83	1109.29	15.33	12.07	402.33	38.32869596	1.102712021	11.16444673	2.01870808	55.58430535	24.5802252	235.4670567	4.895120594	183.7296936	9.065860201	1.903718567	4.018256172	80934.21445	0.02124421	-0.279760815	-0.221300119	0.415240161	-0.134944991	-0.626368225	-0.430727299	0.192363314	0.354233577	-0.192363314	-0.092181706	-0.042498014	0.02124421
YL57	350.73	14.84	5708.5	2.68	410.23	13271.86	1627.53	15.49	5024.72	1099.57	7.94	8.67	426.23	20.19244426	1.089430545	10.23401875	0.917177969	26.92526608	25.15282693	213.5381556	2.952966357	156.1240621	9.05144591	1.569010599	3.25778259	90835.50645	-2.533299536	-0.819625945	-1.907180829	-2.002809497	-2.533299536	-0.149250552	-0.934041501	-2.533299536	-0.149250552	-0.26506362	-1.450595047	-0.978790275	1.693315232
